0,100
6000,100
8000,75
9000,100
10000,100
11000,75
11500,85
12000,50
12500,60
13000,25
13500,35
14000,0
14917,50
15750,0
17000,100
18000,0
19000,100
20000,0
21000,100
21500,0
22000,100
22500,0
23000,100
23500,0
24000,100
24333,0
24833,100
25167,0
25667,100
25917,0
26500,100
26750,0
27167,100
27333,0
27833,100
28000,0
28500,100
29667,100
30000,75
30333,100
30467,0
30667,100
30800,0
31000,100
31133,0
31333,100
31467,0
31667,100
31800,0
32000,100
33000,75
33500,85
34000,50
34500,60
35000,25
35500,35
36000,0
36500,100
37000,0
37500,100
38000,0
38500,100
39000,0
39500,100
40000,0
40500,100
41000,0
43133,0
43333,100
43467,0
43667,100
43800,0
44000,100
44133,0
44333,100
44467,0
44667,100
44800,0
45000,100
45133,0
45333,100
45467,0
45667,100
45800,0
46000,100
46133,0
46333,100
46467,0
46667,100
46800,0
47000,100
47133,0
47333,100
47467,0
47667,100
47800,0
48000,100
48133,0
48333,100
48467,0
48667,100
50000,100
56000,100
58000,75
59000,100
60000,100
61000,75
61500,85
62000,50
62500,60
63000,25
63500,35
64000,0
64917,50
65750,0
67000,100
68000,0
69000,100
70000,0
71000,100
71500,0
72000,100
72500,0
73000,100
73500,0
74000,100
74333,0
74833,100
75167,0
75667,100
75917,0
76500,100
76750,0
77167,100
77333,0
77833,100
78000,0
78500,100
79667,100
80000,75
80333,100
80467,0
80667,100
80800,0
81000,100
81133,0
81333,100
81467,0
81667,100
81800,0
82000,100
83000,75
83500,85
84000,50
84500,60
85000,25
85500,35
86000,0
86500,100
87000,0
87500,100
88000,0
88500,100
89000,0
89500,100
90000,0
90500,100
91000,0
93133,0
93333,100
93467,0
93667,100
93800,0
94000,100
94133,0
94333,100
94467,0
94667,100
94800,0
95000,100
95133,0
95333,100
95467,0
95667,100
95800,0
96000,100
96133,0
96333,100
96467,0
96667,100
96800,0
97000,100
97133,0
97333,100
97467,0
97667,100
97800,0
98000,100
98133,0
98333,100
98467,0
98667,100
100000,100
